1|1|7381|155190|828|19960102|5-LOW|0|17|2116823|17366547|4|2032150|74711|2|19960212|TRUCK
1|2|7381|67310|163|19960102|5-LOW|0|36|4598316|17366547|9|4184467|76638|6|19960228|MAIL
1|3|7381|63700|71|19960102|5-LOW|0|8|1330960|17366547|10|1197864|99822|2|19960305|REG AIR
1|4|7381|2132|943|19960102|5-LOW|0|28|2895564|17366547|9|2634963|62047|6|19960330|AIR
1|5|7381|24027|1625|19960102|5-LOW|0|24|2282448|17366547|10|2054203|57061|4|19960314|FOB
27751|5|10409|63700|681|19980326|3-MEDIUM|0|14|2329180|16946473|7|2166137|99822|5|19980601|REG AIR
42721|2|7591|63700|1646|19961226|5-LOW|0|1|166370|3181608|0|166370|99822|7|19970128|TRUCK
47974|1|13202|155190|1335|19940901|3-MEDIUM|0|41|5105279|16778262|0|5105279|74711|5|19941127|AIR
128388|1|1511|155190|772|19920815|4-NOT SPECI|0|8|996152|1816009|5|946344|74711|8|19921106|RAIL
142178|4|4594|24027|1193|19921224|4-NOT SPECI|0|5|475510|19717635|9|432714|57061|8|19930228|REG AIR
186243|4|25195|63700|394|19940107|5-LOW|0|43|7153910|21861962|3|6939292|99822|7|19940212|MAIL
211491|4|26303|67310|407|19930502|1-URGENT|0|27|3448737|27492763|5|3276300|76638|3|19930626|FOB
387555|7|18514|63700|747|19970912|1-URGENT|0|42|6987540|26517072|4|6708038|99822|2|19971102|AIR
435265|1|17986|67310|66|19970823|5-LOW|0|34|4342854|4252521|4|4169139|76638|2|19971030|TRUCK
437638|7|25271|24027|583|19970309|2-HIGH|0|15|1426530|26894850|9|1298142|57061|0|19970530|TRUCK
444773|5|7018|155190|646|19920404|1-URGENT|0|15|1867785|28792690|2|1830429|74711|3|19920504|AIR
525794|5|16214|24027|760|19930710|2-HIGH|0|40|3804080|27285943|4|3651916|57061|6|19930908|FOB
539044|2|14044|155190|204|19940509|4-NOT SPECI|0|2|249038|13925761|1|246547|74711|4|19940623|FOB
570693|2|11809|63700|13|19940717|2-HIGH|0|14|2329180|25205936|4|2236012|99822|1|19940826|REG AIR
573345|4|17914|24027|313|19970209|1-URGENT|0|37|3518774|21213201|6|3307647|57061|5|19970327|MAIL
580709|4|11797|63700|1584|19941212|3-MEDIUM|0|17|2828290|14129655|8|2602026|99822|4|19950124|FOB
613669|1|21016|155190|85|19950712|1-URGENT|0|4|498076|30056714|8|458229|74711|3|19950922|RAIL
699076|6|22945|63700|765|19971216|4-NOT SPECI|0|28|4658360|21457544|6|4378858|99822|0|19980203|TRUCK
703104|1|15707|24027|421|19950720|3-MEDIUM|0|33|3138366|26731661|10|2824529|57061|4|19951004|TRUCK
760518|3|22561|155190|1256|19920404|4-NOT SPECI|0|21|2614899|24479986|0|2614899|74711|6|19920509|AIR
773671|3|8791|2132|1386|19920607|2-HIGH|0|16|1654608|3749650|2|1621515|62047|6|19920801|FOB
846308|1|25381|63700|572|19930607|3-MEDIUM|0|6|998220|29055542|1|988237|99822|5|19930823|AIR
857383|1|28663|63700|1954|19971130|1-URGENT|0|15|2495550|2436904|7|2320861|99822|5|19980122|AIR
861731|4|3281|2132|1257|19930302|1-URGENT|0|45|4653585|19225197|9|4234762|62047|7|19930501|REG AIR
884005|1|24442|24027|552|19980625|4-NOT SPECI|0|38|3613876|3433182|5|3433182|57061|0|19980910|AIR
907874|3|6173|155190|531|19960325|3-MEDIUM|0|7|871633|8393826|7|810618|74711|5|19960618|RAIL
921732|2|6568|2132|838|19970315|4-NOT SPECI|0|22|2275086|26145886|2|2229584|62047|8|19970609|REG AIR
942919|2|10241|155190|1910|19970216|2-HIGH|0|22|2739418|25231484|7|2547658|74711|1|19970322|TRUCK
1038023|2|7150|155190|116|19930921|5-LOW|0|11|1369709|16958139|6|1287526|74711|7|19931116|SHIP
